rank in month,date,"sea level (m, MHHW)",month,station_name,station_id,type
9,2004-10-17 16:00:00,0.2849999999999997,10,Honolulu,1612340,max
10,2019-10-28 14:00:00,0.2849999999999997,10,Honolulu,1612340,max
1,2020-11-15 14:00:00,0.3959999999999999,11,Honolulu,1612340,max
2,1984-11-24 15:00:00,0.3380000000000001,11,Honolulu,1612340,max
3,2024-11-16 15:00:00,0.32699999999999996,11,Honolulu,1612340,max
4,2004-11-13 15:00:00,0.31999999999999984,11,Honolulu,1612340,max
5,2007-11-25 15:00:00,0.31899999999999995,11,Honolulu,1612340,max
6,2003-11-24 15:00:00,0.31800000000000006,11,Honolulu,1612340,max
7,2017-11-06 16:00:00,0.3129999999999997,11,Honolulu,1612340,max
8,1992-11-23 13:00:00,0.31000000000000005,11,Honolulu,1612340,max
9,1995-11-24 16:00:00,0.30699999999999994,11,Honolulu,1612340,max
10,2016-11-15 15:00:00,0.2999999999999998,11,Honolulu,1612340,max
1,2020-12-15 15:00:00,0.44099999999999984,12,Honolulu,1612340,max
2,2019-12-25 14:00:00,0.42799999999999994,12,Honolulu,1612340,max
3,1968-12-19 14:00:00,0.4169999999999998,12,Honolulu,1612340,max
4,2021-12-05 15:00:00,0.4169999999999998,12,Honolulu,1612340,max
5,2024-12-15 14:00:00,0.3620000000000001,12,Honolulu,1612340,max
6,2019-12-13 15:00:00,0.35599999999999987,12,Honolulu,1612340,max
7,1995-12-22 14:00:00,0.34399999999999986,12,Honolulu,1612340,max
8,1984-12-23 15:00:00,0.33499999999999996,12,Honolulu,1612340,max
9,1987-12-20 14:00:00,0.32899999999999974,12,Honolulu,1612340,max
10,2008-12-11 13:00:00,0.32299999999999995,12,Honolulu,1612340,max
